# time msd_polymer msd_dumbbell msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
 165230.0000 62564.25100338 191455.34085730 71782.56167009 30265.04569796 89407.73348924
 165240.0000 62567.79142253 191466.15818632 71783.26334990 30263.97864989 89418.91618652
 165250.0000 62571.30315889 191477.11615526 71783.98977456 30262.98087405 89430.14550663
 165260.0000 62574.82162449 191488.15077729 71784.72994700 30262.04235373 89441.37847654
 165270.0000 62578.32549270 191499.21173815 71785.50936016 30261.15494568 89452.54743229
 165280.0000 62581.82776767 191510.12614856 71786.22356857 30260.19183052 89463.71074945
 165290.0000 62585.31368232 191521.14478544 71786.91638999 30259.24802196 89474.98037348
 165300.0000 62588.78382109 191532.23715480 71787.63652094 30258.35924863 89486.24138521
 165310.0000 62592.22523630 191543.26243296 71788.32231518 30257.45749248 89497.48262529
 165320.0000 62595.63038711 191554.35813731 71788.99592814 30256.55428313 89508.80792603
 165330.0000 62599.00968669 191565.48860575 71789.74773828 30255.60979944 89520.13106801
 165340.0000 62602.38791326 191576.63731620 71790.46304182 30254.68967482 89531.48459954
 165350.0000 62605.75656520 191587.85406820 71791.14054926 30253.87652761 89542.83699132
 165360.0000 62609.12250086 191599.07084399 71791.77812881 30253.07656425 89554.21615091
 165370.0000 62612.48506100 191610.20524625 71792.36069633 30252.23081788 89565.61373203
 165380.0000 62615.85073669 191621.35704214 71792.93206772 30251.39462220 89577.03035220
 165390.0000 62619.21360206 191632.39229041 71793.46134971 30250.51102592 89588.41991477
 165400.0000 62622.58860893 191643.37449770 71793.96973503 30249.55984470 89599.84491796
 165410.0000 62625.93649042 191654.34074102 71794.47574888 30248.61056377 89611.25442835
 165420.0000 62629.27977721 191665.39106318 71795.00381600 30247.69852665 89622.68872051
 165430.0000 62632.60891177 191676.54180241 71795.56395411 30246.76917807 89634.20867021
 165440.0000 62635.93235137 191687.58915439 71796.11918678 30245.88471480 89645.58525280
 165450.0000 62639.23434021 191698.65756812 71796.74517926 30244.96786410 89656.94452475
 165460.0000 62642.54183439 191709.69155125 71797.39679226 30243.99390945 89668.30084951
 165470.0000 62645.83664021 191720.74140111 71798.01302148 30242.98870052 89679.73967909
 165480.0000 62649.11681398 191731.66828436 71798.60829612 30241.97519987 89691.08478836
 165490.0000 62652.41500193 191742.57261988 71799.20114936 30240.95907390 89702.41239660
 165500.0000 62655.71438111 191753.57467162 71799.90510964 30239.93651147 89713.73305050
 165510.0000 62659.02132758 191764.56775247 71800.63607502 30238.91607256 89725.01560487
 165520.0000 62662.31124467 191775.88281046 71801.45462322 30237.90591846 89736.52226876
 165530.0000 62665.57740636 191787.17610178 71802.27229340 30236.83823035 89748.06557801
 165540.0000 62668.83367352 191798.34130847 71802.99016600 30235.72948001 89759.62166245
 165550.0000 62672.09075088 191809.58986868 71803.67806529 30234.65036708 89771.26143629
 165560.0000 62675.34110944 191821.02211264 71804.43399287 30233.58973777 89782.99838199
 165570.0000 62678.59366047 191832.44220150 71805.14253988 30232.52397193 89794.77568968
 165580.0000 62681.83765908 191844.00696018 71805.89132426 30231.45816567 89806.65747024
 165590.0000 62685.06752551 191855.62348818 71806.70614338 30230.30978022 89818.60756456
 165600.0000 62688.31250369 191867.17642594 71807.50855812 30229.10599442 89830.56187337
 165610.0000 62691.54283971 191878.78008248 71808.28785811 30227.88292773 89842.60929662
 165620.0000 62694.78224463 191890.36951426 71808.98742924 30226.64277786 89854.73930715
 165630.0000 62698.01669227 191901.91613757 71809.71471795 30225.38537484 89866.81604476
 165640.0000 62701.24948924 191913.61730694 71810.49192303 30224.16409223 89878.96129167
 165650.0000 62704.49873375 191925.19091812 71811.20131234 30222.90961629 89891.07998948
 165660.0000 62707.75594225 191936.73077811 71811.86580248 30221.67809724 89903.18687837
 165670.0000 62711.00565069 191948.30904172 71812.60597183 30220.43758263 89915.26548725
 165680.0000 62714.25525424 191959.87062763 71813.39387016 30219.15952942 89927.31722803
 165690.0000 62717.50810810 191971.36656275 71814.26598637 30217.87435302 89939.22622335
 165700.0000 62720.76909854 191982.64709406 71815.11636347 30216.48457154 89951.04615904
 165710.0000 62724.02270160 191994.03430429 71815.90159085 30215.13436509 89962.99834832
 165720.0000 62727.26215111 192005.38559987 71816.71140908 30213.74650283 89974.92768793
 165730.0000 62730.51175677 192016.80585101 71817.59252985 30212.34147962 89986.87184152
 165740.0000 62733.75712709 192028.24524592 71818.51662556 30211.01115627 89998.71746408
 165750.0000 62736.98623170 192039.65795148 71819.50821904 30209.68073733 90010.46899509
 165760.0000 62740.20709233 192050.94493219 71820.38582257 30208.28304182 90022.27606779
 165770.0000 62743.41788892 192062.18489707 71821.30194920 30206.86095176 90034.02199609
 165780.0000 62746.63747369 192073.59107956 71822.27667907 30205.56883906 90045.74556141
 165790.0000 62749.86735874 192085.21151619 71823.30221649 30204.26656660 90057.64273308
 165800.0000 62753.09352838 192096.94328782 71824.35886434 30203.03264147 90069.55178200
 165810.0000 62756.33802421 192108.76953399 71825.38789112 30201.86490934 90081.51673351
 165820.0000 62759.59377845 192120.68614537 71826.43524437 30200.70917358 90093.54172741
 165830.0000 62762.86325912 192132.85478745 71827.47957258 30199.65034346 90105.72487140
 165840.0000 62766.14763411 192145.19197279 71828.62644355 30198.54295507 90118.02257415
 165850.0000 62769.45162068 192157.62220342 71829.71508653 30197.57232518 90130.33479169
 165860.0000 62772.76539231 192169.97269517 71830.79342150 30196.52619177 90142.65308188
 165870.0000 62776.05830638 192182.18188519 71831.89344788 30195.40656034 90154.88187695
 165880.0000 62779.33878174 192194.15046402 71833.03834823 30194.13738906 90166.97472671
 165890.0000 62782.61237358 192206.34125999 71834.21437892 30192.89202675 90179.23485430
 165900.0000 62785.86897929 192218.48269871 71835.32165268 30191.71759377 90191.44345225
 165910.0000 62789.12616781 192230.64807083 71836.46386406 30190.56959672 90203.61461003
 165920.0000 62792.37873746 192242.69131943 71837.55053005 30189.46427249 90215.67651687
 165930.0000 62795.62312157 192254.99820593 71838.67180084 30188.46402386 90227.86238122
 165940.0000 62798.86976809 192267.31404159 71839.83127653 30187.46294461 90240.01982043
 165950.0000 62802.12265122 192279.66504489 71841.11686341 30186.40748322 90252.14069825
 165960.0000 62805.38644892 192292.03426146 71842.37305189 30185.33150678 90264.32970277
 165970.0000 62808.64627571 192304.34042529 71843.61865435 30184.22553590 90276.49623503
 165980.0000 62811.91208681 192316.75038918 71844.89169230 30183.10808312 90288.75061374
 165990.0000 62815.17954778 192329.13606478 71846.18472143 30181.94498036 90301.00636298
 166000.0000 62818.43549771 192341.63951951 71847.52784726 30180.88915651 90313.22251572
 166010.0000 62821.69116478 192353.87158541 71848.76647319 30179.75638412 90325.34872808
 166020.0000 62824.94937978 192366.14127903 71850.01075531 30178.60346062 90337.52706309
 166030.0000 62828.21533364 192378.36734417 71851.23579443 30177.45919930 90349.67235043
 166040.0000 62831.47761896 192390.60073824 71852.41275220 30176.28467327 90361.90331276
 166050.0000 62834.74179538 192402.84609529 71853.57283065 30175.14231642 90374.13094821
 166060.0000 62838.00145925 192415.19132938 71854.73358879 30174.01401701 90386.44372356
 166070.0000 62841.26793077 192427.48692983 71855.94849483 30172.86671842 90398.67171657
 166080.0000 62844.53933285 192439.77540734 71857.11614776 30171.66647931 90410.99278025
 166090.0000 62847.80601438 192452.00737037 71858.27469545 30170.43697052 90423.29570438
 166100.0000 62851.06799715 192464.20988671 71859.35018531 30169.14865785 90435.71104354
